feature,importance
numeric__trip_distance,0.8422165819120773
numeric__pickup_hour,0.06587399682391436
categorical__pickup_borough_Brooklyn,0.012950939448503238
numeric__passenger_count,0.009080853603843397
numeric__payment_type_id,0.008791436519761388
categorical__dropoff_borough_Brooklyn,0.00666169602767979
categorical__pickup_borough_Queens,0.006380981135431648
categorical__pickup_day_of_week_Sunday,0.006054305965478214
categorical__is_weekend_False,0.005516223938938425
categorical__pickup_borough_Bronx,0.004612664163731565
categorical__pickup_borough_Manhattan,0.004472027021967067
categorical__dropoff_borough_Queens,0.004193469953804375
categorical__is_weekend_True,0.003922039086320775
categorical__dropoff_borough_Manhattan,0.003875499791208242
categorical__pickup_day_of_week_Saturday,0.003673350765425002
categorical__pickup_day_of_week_Monday,0.0028805859207922543
categorical__dropoff_borough_Bronx,0.0024215432003422866
categorical__pickup_day_of_week_Tuesday,0.00236299188120587
categorical__dropoff_borough_EWR,0.002250593762653874
categorical__dropoff_borough_None,0.0009836261325962558
categorical__dropoff_borough_Unknown,0.0003500100970421356
categorical__pickup_borough_Unknown,0.00016459274759135758
numeric__pickup_month,0.0001402045593420518
categorical__dropoff_borough_Staten Island,0.00010313817561103765
categorical__pickup_borough_None,5.004864829671394e-05
categorical__pickup_borough_Staten Island,1.3458912365387183e-05
categorical__pickup_borough_EWR,3.139804075996916e-06
