feature,importance
numeric__fare_amount,0.709160277969414
numeric__trip_distance,0.1878719937645422
numeric__pickup_hour,0.029965997716225587
numeric__total_amount,0.0258586739469873
categorical__pickup_borough_Brooklyn,0.006588594154143032
categorical__pickup_borough_Queens,0.006120131832895656
categorical__pickup_borough_Manhattan,0.0037970111745110734
categorical__is_weekend_False,0.0035619794089291204
numeric__payment_type_id,0.0034580884971708763
categorical__dropoff_borough_Brooklyn,0.0032403398922926058
categorical__is_weekend_True,0.002754223213326944
categorical__dropoff_borough_Manhattan,0.0022154514252044413
categorical__dropoff_borough_Queens,0.001988840052891218
categorical__pickup_day_of_week_Sunday,0.0019727998329979934
numeric__passenger_count,0.0019360918587784945
categorical__dropoff_borough_EWR,0.0018569769512420096
categorical__dropoff_borough_None,0.0013640624747209421
categorical__pickup_borough_Bronx,0.0012460034767294004
categorical__pickup_day_of_week_Saturday,0.0011492390717208645
categorical__pickup_day_of_week_Monday,0.0011408073073406412
categorical__pickup_day_of_week_Tuesday,0.001131522939121828
categorical__dropoff_borough_Bronx,0.000917080253924635
categorical__dropoff_borough_Staten Island,0.0002073898834228709
numeric__pickup_month,0.00018439525282272623
categorical__dropoff_borough_Unknown,0.00015391890208376935
categorical__pickup_borough_Unknown,0.0001240951250347955
categorical__pickup_borough_None,2.0117303130254263e-05
categorical__pickup_day_of_week_Friday,7.429042723967377e-06
categorical__pickup_borough_EWR,6.002136709741194e-06
categorical__pickup_borough_Staten Island,4.65138961182532e-07
